id,business_name,business_type,city,state,phone,owner_name,priority,opener
TX_AUS_00001,Carmen Diner,diner,Austin,TX,(512) 719-8771,Carmen (Owner),A,"Save 20% on register rolls"
TX_AUS_00002,Roberto Burger Joint,burger,Austin,TX,(512) 896-1328,Roberto (Owner),A,"Burger joints need reliable rolls"
TX_AUS_00003,Sarah Restaurant,restaurant,Austin,TX,(512) 793-4873,Sarah (Owner),A,"Multi-ply tickets + register rolls"
TX_AUS_00004,Miguel Burger Joint,burger,Austin,TX,(512) 812-7165,Miguel (Owner),A,"High-volume supply bundle"
TX_DAL_00001,Antonio Taqueria,taqueria,Dallas,TX,(214) 555-0101,Antonio (Owner),A,"Phenol-Free paper for health-conscious"
TX_DAL_00002,Maria Cafe,cafe,Dallas,TX,(214) 555-0102,Maria (Owner),A,"Monthly essentials bundle"
TX_DAL_00003,San Jose Market,market,Dallas,TX,(214) 555-0103,Jose (Owner),A,"Scale supplies + register rolls"
TX_HOU_00001,El Patio Restaurant,restaurant,Houston,TX,(713) 555-0101,Carlos (Owner),A,"Volume pricing on supplies"
TX_HOU_00002,Burger Barn,burger,Houston,TX,(713) 555-0102,Mike (Owner),A,"High-volume supplies"
TX_HOU_00003,Mama's Diner,diner,Houston,TX,(713) 555-0103,Mama (Owner),A,"Kitchen tickets + receipts"
AZ_PHX_00001,Sunrise Cafe,cafe,Phoenix,AZ,(602) 555-0101,Juan (Owner),A,"Coffee shop supply bundle"
AZ_PHX_00002,Desert Grill,restaurant,Phoenix,AZ,(602) 555-0102,Sarah (Owner),A,"Restaurant supply package"
AZ_TUC_00001,La Paloma Taqueria,taqueria,Tucson,AZ,(520) 555-0101,Elena (Owner),A,"Bilingual support available"
AZ_TUC_00002,Main Street Diner,diner,Tucson,AZ,(520) 555-0102,Bob (Owner),A,"Classic diner supplies"
AZ_MES_00001,Family Restaurant,restaurant,Mesa,AZ,(480) 555-0101,Lisa (Owner),A,"Family-style supply bundle"
